Area_ID,Area,Region
1,Tapawingo Park,16
2,Happy Hollow Park Playground,5
3,Murdock Park,34
4,Armstrong Park,60
5,Munger Park 4,51
6,CAT Park,57
7,Linnwood Park,23
8,Shamrock Dog Park,37
9,Paula R Woods Park,12
10,West Lafayette Parks Maintenance,16
11,Cumberland Park,2
12,McCaw Baseball Park,51
13,University Farm Park,3
14,George E. Lommel Park,4
15,Lilly Nature Center,1
16,Peck-Trachtman Park,3
17,Celery Bog Nature Area,1
18,Trailhead Park,1
19,Purdue Grand Prix Track,67
20,Alexander Field,67
21,Boilermaker Softball Complex,67
22,Schwartz Tennis Center,67
23,Cordova Recreational Sports Center,69
24,Ross-Ade Stadium,68
25,Mackey Arena,68
26,Morton Center,15
27,Bauer Community Center,37
28,Lafayette YMCA West,54
29,Lafayette YMCA East,64
30,McAllister Center,19
31,Northend Community Center,23
32,Boys and Girls Club,59
33,Hanna Center,23
34,Menards WL,1
35,Meijer,1
36,Walmart WL,2
37,Payless WL,4
38,Purdue West,68
39,Chauncey hill mall,15
40,Wabash landing,16
41,Market square,29
42,Home depot,51
43,Target,51
44,lowe's,51
45,The pavillions,51
46,Sam's club,52
47,Fresh thyme,51
48,Petsmart,57
49,Lafayette marketplace,57
50,Tippecanoe mall,64
51,Rural king,56
52,Jefferson square,55
53,Valley lakes center,66
54,Payless North,29
55,Payless South,64
56,Walmart,53
57,Menards,64
58,Wabash Center,29
