Route Code,Regions
1A,"36,31,27,23,28,24,29,25,26,30,51,57"
1B,"36,31,16,13,9,6,7,8,68,69,70"
2A,"36,31,27,28,23,24,20"
2B,"36,31,32,28,29,25,21"
3,"36,31,32,41,33,42,46,45,54,55,60,61,62,63,64"
4A,"36,31,32,33,41,46,47,50,57,64"
4B,"36,31,16,18,17,15,14,68,69,70,10,1,2,67"
5,"16,13,9,5,68,69,70"
6A,"36,31,37,39,38,54,59,58,65,66"
6B,"36,31,30,41,40,42,44,45,54,55,60,61,62"
7,"31,36,30,33,34,47,35,48,51,52,22,53"
8,"68,69,70,18,17,67"
9,"36,31,30,41,33,46,47,48,50,49,56,57,64"
10,"68,69,70,67,10,1,6,2"
23,"36,31,18,16,17,68,69,70,27,23,19"
